Province,2010_T,2011_T,2012_T,2013_T,2014_T,2015_T,2016_T,2017_T,2018_T,2019_T,2020_T,2021_T,2022_T,2023_T,2024_T,2025_T,2010_AG,2011_AG,2012_AG,2013_AG,2014_AG,2015_AG,2016_AG,2017_AG,2018_AG,2019_AG,2020_AG,2021_AG,2022_AG,2023_AG,2024_AG,2025_AG,2010_AG%,2011_AG%,2012_AG%,2013_AG%,2014_AG%,2015_AG%,2016_AG%,2017_AG%,2018_AG%,2019_AG%,2020_AG%,2021_AG%,2022_AG%,2023_AG%,2024_AG%,Mean_AG%,STD_AG%,S2
Maluku Utara,14983911.88,17078139.29,19340463.82,21439485.17,24042076.66,26638303.08,29150600.99,32272571.55,36468794.7,39695490.69,42298869.01,52480522.4,70902611.67,85143133.2,95787671.66,0,3405765.02,3821922.07,4347168.72,4703669.220000001,5309542.66,5678286.609999999,6220008.17,6608591.36,7025697.92,7447166.22,7590803.9,8110335.63,8785072.620000001,9332318.11,10208142.969999999,0,0.22729478438443673,0.2237903090670951,0.22477065495733287,0.2193928250936634,0.22084376217108362,0.21316247483734238,0.21337495484685717,0.20477424148742804,0.1926495782982375,0.18760736019509827,0.1794564270313099,0.15453991803252323,0.12390337130158355,0.10960740765880106,0.10657053035211023,0.18678257331432685,0.04299201638928905,0.5443976300028462
Nusa Tenggara Barat,70122726.13,68176692.03,69022233.64,73618884.37,81620725.26,105664742.46,116464762.18,123822764.66,123868015.43,132500099.76,133613744.17,140115271.54,156942672.17,166395446.91,182265194.35,0,6549579.0600000005,6771218.859999999,7099415.1899999995,7420261.109999999,8352036.0600000005,9387429.73,10662799.04,11745228.1,12765843.02,13537130.23,14121333.440000001,14837775.55,15737223.780000001,16911910.81,17924967.23,0,0.09340166050957267,0.0993186770783839,0.1028569319710587,0.10079290352603858,0.10232739335989575,0.08884164681093759,0.09155386436560359,0.09485515956820019,0.10306004318939138,0.10216694368170338,0.10568773091212148,0.10589691892196151,0.10027370862497786,0.10163686040728817,0.09834553049980056,0.09940106489512904,0.005083722841336643,0.2891128634254753
Nusa Tenggara Timur,43846608.66,48815240.28,54893145.45,61325255.19,68500433.86,76120790.89,83742790.3,90758927.03,98930187.65,106731763.32,106482448.56,110881411.63,118722447.24,128522846.13,137282476.24,0,7430618.54,8121956.26,8934972.09,9947702.09,11527658.45,12993716.190000001,14649875.91,15907335.469999999,17485900.229999997,18836499.36,19764839.89,21457207.759999998,23613158.630000003,25938167.18,27643552.509999998,0,0.16946848951578644,0.16638156881771268,0.1627702697076908,0.162212159724076,0.16828591879520102,0.17069864931877615,0.174938951252022,0.17527020195756493,0.17674989449997264,0.1764844763552249,0.1856159410051793,0.19351492233522893,0.1988937996052717,0.20181755976492863,0.20136257202756874,0.17896435831214702,0.013866022301503356,0.5215567426344533
Papua,110808176.62,108188756.41,112812560.53,122857170.47,133329981.21,150307284.32,173208859.7,188938078.74,210600573.21,189510696.13,199186570.36,235487465.01,262519788.22,287900654.36,320801561.77,0,7950532.0200000005,8637595.25,9739757.87,10619724.02,12050648.95,14103455.629999999,15158403.55,15746689.979999999,16756690.5,17107415.759999998,17178893.79,17644550.17,18844681.009999998,20159576.360000003,20763421.8,0,0.07175040924340047,0.07983819702360141,0.08633575750999753,0.0864395946884776,0.09038213941558838,0.09383081927003709,0.08751517431761027,0.0833431253509739,0.0795662150610155,0.09027150503560338,0.08624524112720908,0.07492776810540945,0.0717838496586305,0.07002268336212893,0.0647235683188052,0.08113173649923257,0.008734407853719964,0.23573908538656121
Papua Barat,41361671.92,44254636.6,47421091.2,52997659.28,58180963.76,62888029.78,66631075.64,71785929.73,79644584.97,84356967.99,83588641.76,85078485.82,91302024.84,97680936.53,113217828.44,0,4306201.4,4181384.73,4470822.39,4971932.67,5635835.64,6125730.95,6569978.97,7174625.68,7551224.330000001,8119437.59,8215085.0,8428512.569999998,8635914.15,8696759.34,8731221.290000001,0,0.10411091235211364,0.09448466988428507,0.09427919680599842,0.09381419363696848,0.0968673475958247,0.09740694646389032,0.09860232491963415,0.09994473439272958,0.09481152212475395,0.09625094148668915,0.09827991969994178,0.0990674961920708,0.09458622812729287,0.08903230915818493,0.07711878429665456,0.09524383514246883,0.006067718233784319,0.27696753146433467
Riau,388578226.96,485649339.55,558492724.75,607498449.77,679395859.59,652761630.87,681699030.26,704705026.87,752263066.25,760247508.9,727599472.67,839002412.58,991615379.76,1026472051.4,1112481615.09,0,85835924.72,93683638.64,100152457.86,108542867.94,125972598.22,135495129.88,146358630.23,155846176.19,156250201.97,163306495.61,183348746.61,214596601.04,241921315.55,258584678.98,289311676.16,0,0.22089741206430463,0.19290387324897165,0.17932634288984084,0.17867184349374804,0.18541855450226263,0.2075721419155906,0.21469684381710036,0.22115093584929063,0.20770686343661765,0.21480701179315634,0.2519913132113513,0.2557759046009154,0.24396688523382126,0.25191594708040776,0.26005973693020956,0.21912410733783924,0.028214619130952977,0.6388833068160489
Sulawesi Barat,17183831.83,20189340.33,22626205.33,25249485.56,29458246.28,32987549.91,35945201.73,39497407.1,43457831.66,46365789.57,46465911.98,50565529.05,54028347.27,58572048.23,64214881.87,0,5874653.85,7010129.85,7705481.2,8752151.76,10207227.41,11449511.66,11956843.99,13053938.96,14577185.16,14903614.040000001,15206561.040000001,17560192.51,18999141.74,20863340.99,23676404.319999997,0,0.34187100456510927,0.34721936107954054,0.3405556118499169,0.3466269338122705,0.3464981354619865,0.3470858457581035,0.33264089265134866,0.330501162442129,0.33543286913270726,0.3214355708857176,0.3272627264164159,0.34727595735498396,0.3516513589626225,0.3561996143292461,0.36870587674570143,0.34273086142985326,0.012034722126703937,1.0
Sulawesi Selatan,171740744.1,198289084.82,228285473.12,258836416.19,298033804.83,340390214.27,377108906.54,415588200.98,461774735.78,504320725.1,504052526.56,544857139.63,605175943.9,652648092.87,696252764.78,0,22255091.27,25422695.41,28750785.05,33237945.89,41264925.28,48321544.36,53908677.32,59561766.93,65849177.03,70115546.33,71005638.53,81507209.71,90529669.33,93690441.48,99589426.83,0,0.12958538980733345,0.12821026146284273,0.12594224528201553,0.1284129427352353,0.13845719717445384,0.1419592642039674,0.14295254337696714,0.1433191962369172,0.1426002159229691,0.13902967465018817,0.14086952210038736,0.1495937261010284,0.14959231318183266,0.14355430208644165,0.14303631075916515,0.13914100700544965,0.007599769377188404,0.4052129631944393
Sulawesi Tengah,51752070.61,60716294.86,69637920.82,79842224.7,90246273.54,107573474.42,120030006.75,133951156.97,167135768.81,185740087.21,197440782.72,247280350.63,323630278.92,347139013.71,376950324.31,0,14123445.65,16203396.57,18086230.619999997,20369333.98,23502194.849999998,25492861.38,26822543.95,29545438.98,31749437.369999997,32888601.5,32959420.5,36283722.66,40213841.28,42567702.07,46334469.019999996,0,0.27290590470153947,0.2668706416846069,0.25971813068269606,0.2551198198263631,0.26042288427103955,0.23698092413068308,0.22346532068323824,0.2205687479550256,0.18996195485894327,0.1770678693760693,0.16693319407440405,0.14673111942602554,0.12425858734293736,0.12262436772825848,0.12291929740295172,0.20310325094298542,0.05635472867995684,0.5920784317444338
Sulawesi Tenggara,48401152.38,55758554.87,64693984.56,71041253.61,78622151.49,87714475.09,96994760.52,107423447.82,118066606.72,129225147.5,130107270.08,139476773.59,158800272.32,176179902.02,189481747.97,0,11305851.120000001,12046192.299999999,13549275.21,15097608.96,16928075.45,17584532.939999998,20128284.99,22453410.35,24680267.45,26879830.91,27570148.39,29001585.58,32974392.07,36342867.190000005,39955787.870000005,0,0.23358640371281178,0.2160420464283098,0.2094363997232821,0.21251889842600993,0.21530923701767551,0.2004746984116051,0.20751930188898826,0.20901777782838624,0.20903681519813902,0.20800774021171073,0.21190321165794765,0.2079312908775179,0.2076469491409497,0.20628270746724758,0.2108687950056597,0.21103881819974943,0.007281319618646351,0.6152621633079066
Sulawesi Utara,51721334.14,57343600.92,63875306.63,71097460.66,80667626.27,91145677.83,100513842.9,110116731.84,119512683.97,130126510.04,132230056.87,142620419.59,157039456.08,171969422.23,187374290.13,0,8808675.46,8904574.43,10129994.07,11486240.15,13178037.34,14472778.79,15717152.04,17074686.84,17924610.49,19776470.44,20862426.96,22411156.12,24378924.77,26139991.97,28762831.990000002,0,0.17031029083968638,0.15528453545187654,0.15859014389830414,0.16155626436405557,0.16336215591484268,0.1587873296306364,0.15636803435758398,0.1550598765027787,0.14998082123650927,0.15197879689481297,0.15777371237547438,0.15713848118261592,0.15524076164388098,0.15200372037674897,0.1535046882368141,0.15712930752710808,0.005115474316315467,0.4577657192966248
Sumatera Barat,105017739.45,118674286.83,131435645.55,146899829.89,164944256.8,179951980.32,196099176.57,213893468.18,230367222.04,245949737.17,241894127.68,253100196.47,285375360.98,312769376.68,332936442.4,0,14995458.14,16961996.88,18442811.31,20615781.2,23269217.46,25143944.55,27270934.64,29394311.39,31213996.75,31779117.0,31481759.520000003,34070155.15,38206474.66,41204426.31,45638573.37,0,0.14278976312510983,0.1429289977895374,0.1403181856247976,0.1403390406608183,0.14107322019835247,0.13972585633838386,0.13906705329925395,0.13742500713141692,0.1354966929478367,0.1292098026436773,0.13014685317887087,0.13461133426673708,0.13388147641336712,0.1317406030839042,0.13707893627087067,0.13705552153152892,0.004410001336766957,0.39912022478740367
Sumatera Selatan,194012973.72,226666934.64,253265124.8,280348464.13,306421601.29,331765701.71,353866964.62,382885701.28,419392156.72,453402714.08,454607396.09,493636854.82,590079428.01,629168674.76,663961721.82,0,28710616.0,33343471.0,37380801.0,40808522.76,43240742.6,44469927.73,44701605.5,45777964.870000005,47238612.62,49875551.28,52459915.69,56752141.38,60316529.64,64569823.82,71269689.50999999,0,0.14798296964117066,0.14710337461861042,0.14759553266372188,0.14556356813525018,0.14111519037157108,0.13404015997070018,0.12632319478593548,0.11956039287171787,0.11263589903408243,0.11000276295478854,0.11539608933158306,0.1149673911618575,0.10221764524720531,0.1026272069960103,0.10734005766874795,0.12496476236353019,0.017372119415066313,0.3637971148092789
Sumatera Utara,331085237.47,377037101.03,417120438.66,469464015.54,521954951.83,571722008.76,626062907.4,684634426.63,741347427.64,799608954.24,811188308.84,859934262.44,955193092.71,1050995407.22,1146919754.56,0,61385341.17,69300043.36,75533873.68,84423978.97,89733132.13,90487639.91,96012864.6,105773006.36,112263420.23,119597718.03,127605358.42,143846775.98000002,170489203.39,195013769.04999998,225489062.25,0,0.1854064579836852,0.18380165551529093,0.18108408670323775,0.1798305645916045,0.1719173883021728,0.1582720946955626,0.15335977178193708,0.1544955997621244,0.151431590701513,0.14957025855678843,0.15730670305452968,0.1672764794507029,0.1784866376140778,0.18555149500208867,0.19660404431389866,0.17029298853528094,0.015252406013196362,0.4962233666211482
